Partlist

Exported from All Modules.sch at 3/26/2020 1:25 PM

EAGLE Version 9.5.1 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part     Value                Device               Package               Library               Sheet
U$1      UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$2      UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$3      UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$4      LPC11C24FBD48/301    LPC11C24FBD48/301    QFP50P900X900X160-48N QFP50P900X900X160-48N 1
U$5      UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$6      LPC11C24FBD48/301    LPC11C24FBD48/301    QFP50P900X900X160-48N QFP50P900X900X160-48N 1
U$7      LPC11C24FBD48/301    LPC11C24FBD48/301    QFP50P900X900X160-48N QFP50P900X900X160-48N 1
U$8      UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$9      UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$10     UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$11     LPC11C24FBD48/301    LPC11C24FBD48/301    QFP50P900X900X160-48N QFP50P900X900X160-48N 1
U$12     UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$13     UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U$14     LPC11C24FBD48/301    LPC11C24FBD48/301    QFP50P900X900X160-48N QFP50P900X900X160-48N 1
U$15     UEXT-SMD             UEXT-SMD             UEXT-SMD              UEXT-Connecotr        1
U1       TSL260R-LF           TSL260R-LF           XDCR_TSL260R-LF       TSL260R-LF            1
U2       TESEO-LIV3F          TESEO-LIV3F          TESEO-LIV3F           TESEO-LIV3F           1
U3       CYBLE-012011-00      CYBLE-012011-00      XCVR_CYBLE-012011-00  CYBLE-012011-00       1
U4       SN74HC148D           SN74HC148D           SOIC127P600X175-16N   SN74HC148D            1
U5       MAX964ESET           MAX964ESET           SOIC127P600X175-16N   MAX964ESET            1
U6       MAX964ESET           MAX964ESET           SOIC127P600X175-16N   MAX964ESET            1
U7       SN74HC148D           SN74HC148D           SOIC127P600X175-16N   SN74HC148D            1
U8       MAX964ESET           MAX964ESET           SOIC127P600X175-16N   MAX964ESET            1
U9       MAX964ESET           MAX964ESET           SOIC127P600X175-16N   MAX964ESET            1
U10      SN74HC148D           SN74HC148D           SOIC127P600X175-16N   SN74HC148D            1
U11      MAX964ESET           MAX964ESET           SOIC127P600X175-16N   MAX964ESET            1
U12      MAX964ESET           MAX964ESET           SOIC127P600X175-16N   MAX964ESET            1
U13      HC-SR04(NOSILK)      HC-SR04(NOSILK)      XCVR_HC-SR04(NOSILK)  HC-SR04               1
VR1      PVG3A200C01R00       PVG3A200C01R00       TRIM_PVG3A200C01R00   TrimmerPot            1
VR2      PVG3A200C01R00       PVG3A200C01R00       TRIM_PVG3A200C01R00   TrimmerPot            1
